int(self),prey_max_transfert,prey_energy_reproduce,predator_energy_transfert,predator_energy_reproduce,self.nr_predators,self.nr_preys
0,0.25,0.3,0.7,0.9,51,2
1,0.25,0.3,0.7,0.9,30,7
2,0.3,0.3,0.7,0.9,45,3
3,0.3,0.3,0.7,0.9,39,6
4,0.2,0.3,0.7,0.9,53,4
5,0.2,0.3,0.7,0.9,20,10
6,0.25,0.25,0.7,0.9,48,4
7,0.25,0.25,0.7,0.9,23,5
8,0.25,0.35,0.7,0.9,62,9
9,0.25,0.35,0.7,0.9,21,10
10,0.25,0.3,0.6,0.9,58,1
11,0.25,0.3,0.6,0.9,64,4
12,0.25,0.3,0.8,0.9,35,7
13,0.25,0.3,0.8,0.9,40,5
14,0.25,0.3,0.7,1.0,47,4
15,0.25,0.3,0.7,1.0,33,5
16,0.25,0.3,0.7,0.8,64,2
17,0.25,0.3,0.7,0.8,18,8
18,0.3,0.3,0.6,0.9,33,6
19,0.3,0.3,0.6,0.9,30,7
20,0.2,0.3,0.6,0.9,49,11
21,0.2,0.3,0.6,0.9,29,5
22,0.25,0.25,0.6,0.9,30,5
23,0.25,0.25,0.6,0.9,24,8
