cycle: 0; nrPreys: 200; minEnergyPreys: 4.710839522179544E-4; maxEnergyPreys: 0.9874137373617731; nrPredators: 100; minEnergyPredators: 0.0075965526394145; maxEnergyPredators: 0.9859253751791279
cycle: 1; nrPreys: 168; minEnergyPreys: 0.048510299638492446; maxEnergyPreys: 1.0; nrPredators: 99; minEnergyPredators: 4.5304747776877055E-4; maxEnergyPredators: 1.0
cycle: 2; nrPreys: 153; minEnergyPreys: 0.09752990748162968; maxEnergyPreys: 1.0; nrPredators: 98; minEnergyPredators: 0.019159636809202994; maxEnergyPredators: 1.0
cycle: 3; nrPreys: 142; minEnergyPreys: 0.14752990748162964; maxEnergyPreys: 1.0; nrPredators: 98; minEnergyPredators: 0.033334269903299504; maxEnergyPredators: 1.0
cycle: 4; nrPreys: 131; minEnergyPreys: 0.17634191329150023; maxEnergyPreys: 1.0; nrPredators: 98; minEnergyPredators: 0.013334269903299504; maxEnergyPredators: 1.0
cycle: 5; nrPreys: 121; minEnergyPreys: 0.22634191329150025; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.10207979128909914; maxEnergyPredators: 1.0
cycle: 6; nrPreys: 115; minEnergyPreys: 0.27634191329150026; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.08207979128909913; maxEnergyPredators: 1.0
cycle: 7; nrPreys: 109; minEnergyPreys: 0.3263419132915003; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.07933558582328075; maxEnergyPredators: 1.0
cycle: 8; nrPreys: 103; minEnergyPreys: 0.37634191329150035; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.06423754660759447; maxEnergyPredators: 1.0
cycle: 9; nrPreys: 98; minEnergyPreys: 0.4263419132915004; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.04508382411433681; maxEnergyPredators: 1.0
cycle: 10; nrPreys: 93; minEnergyPreys: 0.47634191329150044; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.025083824114336812; maxEnergyPredators: 1.0
cycle: 11; nrPreys: 88; minEnergyPreys: 0.5263419132915005; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.0050838241143368115; maxEnergyPredators: 1.0
cycle: 12; nrPreys: 83; minEnergyPreys: 0.5763419132915005; maxEnergyPreys: 1.0; nrPredators: 95; minEnergyPredators: 0.004019991654443437; maxEnergyPredators: 1.0
cycle: 13; nrPreys: 79; minEnergyPreys: 0.6263419132915005; maxEnergyPreys: 1.0; nrPredators: 94; minEnergyPredators: 0.031150260279848515; maxEnergyPredators: 1.0
cycle: 14; nrPreys: 76; minEnergyPreys: 0.6763419132915004; maxEnergyPreys: 1.0; nrPredators: 94; minEnergyPredators: 0.013111044593574005; maxEnergyPredators: 1.0
cycle: 15; nrPreys: 72; minEnergyPreys: 0.7263419132915003; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.05337855572144912; maxEnergyPredators: 1.0
cycle: 16; nrPreys: 71; minEnergyPreys: 0.7763419132915003; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.03337855572144911; maxEnergyPredators: 1.0
cycle: 17; nrPreys: 68; minEnergyPreys: 0.8263419132915002; maxEnergyPreys: 1.0; nrPredators: 97; minEnergyPredators: 0.013378555721449113; maxEnergyPredators: 1.0
cycle: 18; nrPreys: 64; minEnergyPreys: 0.8763419132915001; maxEnergyPreys: 1.0; nrPredators: 96; minEnergyPredators: 0.06468439391141773; maxEnergyPredators: 1.0
cycle: 19; nrPreys: 58; minEnergyPreys: 0.9263419132915001; maxEnergyPreys: 1.0; nrPredators: 96; minEnergyPredators: 0.0546180478588596; maxEnergyPredators: 1.0
cycle: 20; nrPreys: 55; minEnergyPreys: 0.9676470588235294; maxEnergyPreys: 1.0; nrPredators: 96; minEnergyPredators: 0.034618047858859594; maxEnergyPredators: 1.0
cycle: 21; nrPreys: 53; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 96; minEnergyPredators: 0.014618047858859593; maxEnergyPredators: 1.0
cycle: 22; nrPreys: 51; minEnergyPreys: 0.9705882352941176; maxEnergyPreys: 1.0; nrPredators: 95; minEnergyPredators: 0.030626253079979727; maxEnergyPredators: 1.0
cycle: 23; nrPreys: 48; minEnergyPreys: 0.9411764705882353; maxEnergyPreys: 1.0; nrPredators: 95; minEnergyPredators: 0.010626253079979726; maxEnergyPredators: 1.0
cycle: 24; nrPreys: 45; minEnergyPreys: 0.9127450980392157; maxEnergyPreys: 1.0; nrPredators: 94; minEnergyPredators: 0.018213805676123285; maxEnergyPredators: 1.0
cycle: 25; nrPreys: 43; minEnergyPreys: 0.9627450980392156; maxEnergyPreys: 1.0; nrPredators: 94; minEnergyPredators: 0.019782433127103604; maxEnergyPredators: 1.0
cycle: 26; nrPreys: 42; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 94; minEnergyPredators: 0.0017432174408290933; maxEnergyPredators: 1.0
cycle: 27; nrPreys: 41; minEnergyPreys: 0.9754901960784313; maxEnergyPreys: 1.0; nrPredators: 93; minEnergyPredators: 0.002281229422066204; maxEnergyPredators: 1.0
cycle: 28; nrPreys: 40; minEnergyPreys: 0.9764705882352941; maxEnergyPreys: 1.0; nrPredators: 93; minEnergyPredators: 0.019999999999999993; maxEnergyPredators: 1.0
cycle: 29; nrPreys: 39; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 92; minEnergyPredators: 0.0013503603651751558; maxEnergyPredators: 1.0
cycle: 30; nrPreys: 38; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.1506262530799796; maxEnergyPredators: 1.0
cycle: 31; nrPreys: 37; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.1306262530799796; maxEnergyPredators: 1.0
cycle: 32; nrPreys: 36; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.1106262530799796; maxEnergyPredators: 1.0
cycle: 33; nrPreys: 36; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.0906262530799796; maxEnergyPredators: 1.0
cycle: 34; nrPreys: 36; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.07062625307997959; maxEnergyPredators: 1.0
cycle: 35; nrPreys: 34; minEnergyPreys: 0.9813725490196078; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.05062625307997959; maxEnergyPredators: 1.0
cycle: 36; nrPreys: 33; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.030626253079979588; maxEnergyPredators: 1.0
cycle: 37; nrPreys: 31; minEnergyPreys: 1.0; maxEnergyPreys: 1.0; nrPredators: 91; minEnergyPredators: 0.010626253079979588; maxEnergyPredators: 1.0
cycle: 38; nrPreys: 27; minEnergyPreys: 0.984313725490196; maxEnergyPreys: 1.0; nrPredators: 87; minEnergyPredators: 0.016630031314027547; maxEnergyPredators: 1.0
